,sentences
242,"['puella', 'magi', 'madoka', 'magica', 'mahou', 'shoujo', 'madoka', 'magica', 'magic', 'girl', 'anim', 'anim', 'studio', 'shaft', 'variou', 'adapt', 'sidestori', 'well']"
243,"['spirit', 'away', 'borrow', 'lot', 'side', 'charact', 'variou', 'japanes', 'legend', 'although', 'mani', 'origin', 'mysteri', 'charact', 'face', 'perhap', 'slightli', 'antagonist', 'come', 'spirit', 'greed', 'effect', 'concept', 'face', 'uniqu', 'collect', 'strang', 'power', 'dont', 'mytholog', 'spirit', 'suggest', 'might', 'uniqu', 'creation', 'miyazaki', 'comment', 'miyazaki', 'origin', 'face', 'bar', 'clear', 'origin', 'japanes', 'mytholog', 'origin', 'creation']"
244,"['unfortun', 'angel', 'beat', 'doesnt', 'much', 'detail', 'mechan', 'afterlif', 'environ', 'take', 'place', 'howev', 'assum', 'seri', 'follow', 'basic', 'concept', 'etern', 'partial', 'explan', 'given', 'drew', 'littl', 'imag', 'three', 'differ', 'timelin', 'present', 'seri', 'key', 'green', 'line', 'main', 'world', 'timelin', 'charact', 'seri', 'live', 'life', 'die', 'red', 'line', 'afterlif', 'timelin', 'charact', 'went', 'die', 'seri', 'take', 'place', 'cyan', 'line', 'altern', 'world', 'timelin', 'presum', 'charact', 'seri', 'went', 'theyv', 'resolv', 'issu', 'regret', 'afterlif', 'move', 'white', 'circlesov', 'repres', 'kanad', 'tachibana', 'spent', 'timelin', 'blue', 'circlesov', 'repres', 'yuzuru', 'otonashi', 'spent', 'timelin', 'white', 'line', 'repres', 'kanad', 'transit', 'timelin', 'anoth', 'blue', 'line', 'repres', 'yuzuru', 'transit', 'timelin', 'anoth', 'rang', 'circlesov', 'rough', 'estim', 'main', 'world', 'timelin', 'yuzuru', 'born', 'kanad', 'born', 'yuruzu', 'get', 'train', 'crash', 'although', 'surviv', 'initi', 'crash', 'eventu', 'dy', 'thirst', 'dy', 'sign', 'organ', 'donor', 'card', 'rescuer', 'arriv', 'bare', 'late', 'organ', 'harvest', 'kanad', 'heart', 'transplant', 'receiv', 'donor', 'heart', 'yuzuru', 'kanad', 'dy', 'dont', 'long', 'live', 'heart', 'transplant', 'appar', 'save', 'life', 'presum', 'live', 'good', 'afterlif', 'timelin', 'kanad', 'arriv', 'afterlif', 'per', 'yuri', 'kanad', 'arriv', 'never', 'told', 'long', 'amount', 'spent', 'arriv', 'departur', 'unknown', 'event', 'angel', 'beat', 'heaven', 'door', 'manga', 'place', 'yuzuru', 'arriv', 'afterlif', 'kanad', 'yuzuru', 'final', 'meet', 'person', 'stab', 'chest', 'notic', 'yuzuru', 'doesnt', 'heart', 'realiz', 'yuzuru', 'event', 'angel', 'beat', 'anim', 'place', 'kanad', 'move', 'afterlif', 'thank', 'yuzuru', 'heart', 'gave', 'per', 'angel', 'beat', 'anoth', 'epilogu', 'yuzuru', 'remain', 'afterlif', 'undisclos', 'amount', 'help', 'other', 'move', 'event', 'angel', 'beat', 'anim', 'sequel', 'ever', 'releas', 'place', 'yuzuru', 'final', 'move', 'afterlif', 'altern', 'world', 'timelin', 'yuzuru', 'get', 'reincarnatedreborn', 'univers', 'contain', 'main', 'world', 'timelin', 'altern', 'better', 'timelin', 'kanad', 'get', 'reincarnatedreborn', 'univers', 'contain', 'main', 'world', 'timelin', 'altern', 'better', 'timelin', 'yuzuru', 'final', 'meet', 'kanad', 'live', 'happili', 'ever', 'said', 'seri', 'never', 'realli', 'explain', 'finer', 'detail', 'afterlif', 'exactli', 'happen', 'someon', 'move', 'best', 'explan', 'give', 'moment', 'perhap', 'light', 'shed', 'matter', 'futur']"
245,"['chunin', 'exam', 'lee', 'fight', 'gaara', 'kakashi', 'say', 'open', 'gate', 'risk', 'death', 'rise', 'well', 'guy', 'fight', 'kisam', 'guy', 'alreadi', 'open', 'sever', 'gate', 'final', 'attack', 'open', 'quit', 'lot', 'rel', 'seventh', 'gate', 'open', 'cours', 'open', 'gate', 'stamen', 'rate', 'supposedli', 'decreas', 'exponenti', 'im', 'pretti', 'sure', 'suppos', 'pretti', 'exhaust', 'still', 'open', 'seventh', 'gate', 'still', 'enough', 'talk', 'stop', 'kisam', 'escap', 'shouldnt', 'much']"
246,"['higurashi', 'naku', 'koro', 'ni', 'lit', 'cicada', 'cri', 'higurashi', 'cri', 'first', 'game', 'cri', 'murder', 'mysteri', 'seri', 'th', 'expans', 'anim', 'adapt', 'produc', 'studio', 'deen', 'releas', 'episod', 'season', 'stori', 'broken', 'six', 'arc', 'follow', 'life', 'keiichi', 'maebara', 'five', 'friend', 'rena', 'mion', 'shion', 'rika', 'satoko', 'set', 'unravel', 'mysteri', 'tini', 'rural', 'town', 'hinamizawa', 'fall', 'psycholog', 'thriller', 'horror', 'mysteri', 'genr', 'higurashi', 'wellknown', 'grisli', 'murder', 'psychophys', 'tortur', 'mysteri', 'disappear', 'mental', 'breakdown', 'violent', 'act', 'plot', 'twist', 'place', 'tag', 'encompass', 'higurashi', 'visual', 'novel', 'higurashi', 'manga', 'season', 'higurashi', 'anim', 'first', 'season', 'includ', 'catkil', 'chapter', 'second', 'season', 'kai', 'third', 'season', 'rei', 'ovum', 'kira', 'encompass', 'umineko', 'naku', 'koro', 'ni', 'adapt', 'uminekononakukoroni', 'per', 'meta', 'discuss', 'tag', 'kept', 'separ', 'link', 'wikipedia', 'higurashi', 'cri', 'mal', 'higurashi', 'naku', 'koro', 'ni', 'mal', 'higurashi', 'naku', 'koro', 'ni', 'kai', 'mal', 'higurashi', 'naku', 'koro', 'ni', 'rei', 'mal', 'higurashi', 'naku', 'koro', 'ni', 'kira']"
247,"['higurashi', 'naku', 'koro', 'ni', 'first', 'game', 'cri', 'murder', 'mysteri', 'seri', 'th', 'expans', 'tag', 'higurashi', 'game', 'anim', 'seri', 'third', 'game', 'seri', 'uminekononakukoroni']"
248,"['sword', 'art', 'onlin', 'light', 'novel', 'reki', 'kawahara', 'illustr', 'abec', 'light', 'novel', 'began', 'public', 'televis', 'anim', 'seri', 'produc', 'a1', 'pictur', 'air', 'japan', 'juli', 'decemb', 'second', 'anim', 'seri', 'titl', 'sword', 'art', 'onlin', 'ii', 'begin', 'air', 'juli', 'stori', 'tell', 'kirito', 'gamer', 'who', 'eager', 'jump', 'back', 'action', 'spent', 'great', 'deal', 'beta', 'tester', 'soon', 'sword', 'art', 'onlin', 'player', 'discov', 'unabl', 'log', 'way', 'return', 'physic', 'bodi', 'beat', 'level', 'tower', 'final', 'bo', 'death', 'game', 'mean', 'death', 'real', 'world', 'wikipedia', 'myanimelist', 'imdb', 'sword', 'art', 'onlin', 'offici', 'websit']"
249,"['sword', 'art', 'onlin', 'light', 'novel', 'anim', 'reki', 'kawahara', 'a1', 'pictur', 'shounen', 'fantasi', 'boy', 'kirito', 'travel', 'variou', 'virtualr', 'mmorpg']"
250,"['piec', 'shounen', 'manga', 'seri', 'written', 'illustr', 'eiichiro', 'oda', 'adventur', 'monkey', 'luffi', 'young', 'man', 'whose', 'bodi', 'gain', 'properti', 'rubber', 'unintent', 'eat', 'devil', 'fruit', 'well', 'divers', 'crew', 'pirat', 'name', 'straw', 'hat', 'pirat', 'luffi', 'explor', 'ocean', 'search', 'world', 'ultim', 'treasur', 'known', 'piec', 'order', 'becom', 'next', 'pirat', 'king', 'tag', 'use', 'question', 'piec', 'plot', 'charact', 'either', 'manga', 'anim', 'inform', 'piec', 'follow', 'site', 'wikipediaentri', 'piec', 'piec', 'wikia', 'shonenjump', 'websit', 'manga', 'anim', 'news', 'network', 'encyclopedia', 'entri', 'manga', 'anim']"
251,"['piec', 'shounen', 'manga', 'written', 'illustr', 'eiichiro', 'oda', 'adventur', 'monkey', 'luffi', 'divers', 'crew', 'straw', 'hat', 'pirat']"
252,"['gunbust', 'top', 'wo', 'nera', 'aim', 'top', 'episod', 'ovum', 'seri', 'creat', 'studio', 'gainax', 'noriko', 'takaya', 'must', 'persuad', 'everyon', 'especi', 'inde', 'fulfil', 'goal', 'becom', 'accomplish', 'pilot', 'despit', 'ordinari', 'girl', 'origin', 'seri', 'direct', 'hideaki', 'anno', 'written', 'hiroyuki', 'yamaga', 'toshio', 'okada', 'hideaki', 'anno', 'question', 'sequel', 'diebust', 'diebust', 'inform', 'gunbust', 'wikipedia', 'gunbust', 'ann', 'encyclopedia']"
253,"['gunbust', 'top', 'wo', 'nera', 'episod', 'ovum', 'seri', 'creat', 'studio', 'gainax', 'sequel', 'diebust', 'diebust']"
254,"['fairi', 'tail', 'manga', 'seri', 'written', 'illustr', 'hiro', 'mashima', 'seri', 'follow', 'adventur', 'luci', 'heartfilia', 'teenag', 'wizard', 'join', 'titular', 'wizard', 'guild', 'team', 'fellow', 'guild', 'member', 'natsu', 'dragneel', 'search', 'dragon', 'igneel', 'anim', 'adapt', 'start', 'air', 'octob', 'direct', 'shinji', 'ishihara', 'produc', 'a1', 'pictur', 'tag', 'use', 'question', 'concern', 'fairi', 'tail', 'manga', 'anim', 'fairi', 'tail', 'manga', 'written', 'hiro', 'mashima', 'publish', 'august', 'fairi', 'tail', 'anim', 'tv', 'seri', 'direct', 'shinji', 'ishihara', 'produc', 'a1', 'pictur', 'air', 'octob', 'welcom', 'fairi', 'hill', 'ovum', 'direct', 'shinji', 'ishihara', 'produc', 'a1', 'pictur', 'releas', 'april', 'fairi', 'academi', 'yankeekun', 'yankeechan', 'ovum', 'direct', 'shinji', 'ishihara', 'produc', 'a1', 'pictur', 'releas', 'june', 'memori', 'day', 'ovum', 'direct', 'shinji', 'ishihara', 'produc', 'a1', 'pictur', 'releas', 'februari', 'fairi', 'tail', 'movi', 'phoenix', 'priestess', 'anim', 'film', 'direct', 'masaya', 'fujimori', 'produc', 'a1', 'pictur', 'satelit', 'releas', 'august', 'fairi', 'train', 'camp', 'ovum', 'direct', 'hiro', 'mashima', 'produc', 'a1', 'pictur', 'releas', 'novemb', 'inform', 'wikipedia', 'page', 'fairi', 'tail', 'wiki']"
255,"['fairi', 'tail', 'manga', 'written', 'illustr', 'hiro', 'mashima', 'teenag', 'wizard', 'luci', 'heartfilia', 'team', 'titular', 'wizard', 'guild', 'natsu', 'dragneel', 'search', 'dragon', 'igneel']"
256,"['pretti', 'soldier', 'sailor', 'moon', 'later', 'retitl', 'pretti', 'guardian', 'sailor', 'moon', 'bishjo', 'senshi', 'sr', 'mn', 'shoujo', 'fantasi', 'manga', 'seri', 'written', 'illustr', 'naoko', 'takeuchi', 'stori', 'revolv', 'around', 'reborn', 'defend', 'kingdom', 'span', 'solar', 'system', 'around', 'evil', 'forc', 'battl', 'major', 'charact', 'sailor', 'senshi', 'teenag', 'girl', 'transform', 'heroin', 'name', 'moon', 'planet', 'sailor', 'moon', 'wikipedia']"
257,"['sailor', 'moon', 'shoujo', 'fantasi', 'seri', 'naoko', 'takeuchi', 'teenag', 'girl', 'transform', 'magic', 'girl', 'name', 'astronom', 'object', 'battl', 'evil']"
258,"['steinsgat', 'visual', 'novel', 'develop', 'pb', 'nitroplu', 'anim', 'adapt', 'white', 'fox', 'sever', 'manga', 'adapt', 'well', 'number', 'relat', 'medium', 'concept', 'caus', 'effect', 'featur', 'promin', 'game', 'protagonist', 'travel', 'back', 'numer', 'time', 'perform', 'differ', 'action', 'attempt', 'alter', 'happen', 'past', 'happen', 'futur', 'game', 'scienc', 'adventur', 'seri', 'chaoshead', 'roboticsnot', 'steinsgat', 'wikipedia', 'offici', 'websit', 'japanes', 'steinsgat', 'anim', 'ann', 'encyclopedia']"
259,"['steinsgat', 'visual', 'novel', 'develop', 'pb', 'nitroplu', 'second', 'scienc', 'adventur', 'seri', 'chaoshead', 'roboticsnot']"
260,"['although', 'open', 'six', 'seventh', 'gate', 'extrem', 'danger', 'guy', 'sensei', 'gone', 'extens', 'train', 'seen', 'whenev', 'make', 'appear', 'he', 'almost', 'alway', 'push', 'limit', 'allow', 'withstand', 'effect', 'eight', 'gate', 'techniqu', 'minor', 'repercuss']"
261,"['your', 'quit', 'right', 'eight', 'gate', 'total', 'gate', 'special', 'point', 'bodi', 'limit', 'flow', 'chakra', 'done', 'order', 'bodi', 'live', 'longer', 'chakra', 'flow', 'bodi', 'expir', 'faster', 'open', 'gate', 'let', 'chakra', 'flow', 'freeli', 'give', 'shinobi', 'boost', 'power', 'price', 'bodi', 'suffer', 'power', 'greatli', 'gate', 'give', 'boost', 'special', 'power', 'eg', 'first', 'gate', 'remov', 'restrain', 'muscl', 'second', 'improv', 'physic', 'strength', 'reenerg', 'bodi', 'open', 'gate', 'danger', 'becom', 'danger', 'gate', 'open', 'that', 'right', 'reason', 'bodi', 'simpli', 'cant', 'stand', 'chakra', 'get', 'damag', 'that', 'hard', 'open', 'gate', 'requir', 'lot', 'train', 'guy', 'gone', 'lot', 'train', 'learn', 'much', 'gate', 'though', 'side', 'effect', 'seventh', 'gate', 'guy', 'use', 'caus', 'user', 'muscl', 'fibr', 'rip', 'shred', 'caus', 'intens', 'pain', 'anyth', 'anyon', 'touch', 'final', 'last', 'th', 'gate', 'give', 'user', 'tremend', 'power', 'cost', 'life', 'summar', 'sinc', 'guy', 'gone', 'lot', 'train', 'learn', 'open', 'gate', 'power', 'battl', 'cours', 'sideeffect', 'even', 'usual', 'happen', 'battl', 'close', 'gate', 'nevertheless', 'open', 'last', 'gate', 'cost', 'anyon', 'els', 'matter', 'life', 'sourc', 'wiki', 'edit', 'wrong', 'guy', 'doesnt', 'suffer', 'open', 'gate', 'though', 'immedi', 'that', 'probabl', 'confus', 'happen', 'chapter', 'manga', 'kisam', 'us', 'water', 'prison', 'kill', 'here', 'screenshot', 'guy', 'start', 'suffer', 'gate', 'open', 'sure', 'spoiler', 'ill', 'mark', 'case']"
262,"['read', 'oda', 'mashima', 'good', 'friend', 'howev', 'mashima', 'never', 'oda', 'assist', 'never', 'assist', 'mangaka', 'resembl', 'artwork', 'due', 'share', 'common', 'toriyama', 'worship', 'obsess', 'dragon', 'ball', 'detail', 'blog', 'post']"
263,"['bleach', 'japanes', 'manga', 'seri', 'written', 'illustr', 'tite', 'kubo', 'focu', 'adventur', 'kurosaki', 'ichigo', 'teenag', 'becom', 'soul', 'reaper', 'protector', 'human', 'guid', 'afterlif', 'stori', 'bleach', 'follow', 'adventur', 'kurosaki', 'ichigo', 'childhood', 'ichigo', 'abl', 'ghost', 'life', 'suddenli', 'chang', 'meet', 'kuchiki', 'rukia', 'introduc', 'shinigami', 'soul', 'reaper', 'obtain', 'shinigami', 'power', 'bleach', 'franchis', 'includ', 'ongo', 'manga', 'seri', 'start', 'public', 'anim', 'seri', 'air', 'sinc', 'japan', 'four', 'movi', 'direct', 'noriyukiab', 'seri', 'rock', 'music', 'two', 'trade', 'card', 'game', 'sever', 'video', 'game', 'two', 'light', 'novel']"
264,"['bleach', 'manga', 'anim', 'mangaka', 'tite', 'kubo', 'adventur', 'kurosaki', 'ichigo', 'teenag', 'becom', 'soul', 'reaper', 'protector', 'human', 'guid', 'afterlif']"
265,"['built', 'tradit', 'mean', 'wouldv', 'world', 'creat', 'via', 'sort', 'ninjutsu', 'shape', 'rock', 'erect', 'sort', 'doton', 'jutsu', 'doryuu', 'heki', 'sure', 'canon', 'answer', 'id', 'hear', 'thought']"
266,"['mangaka', 'person', 'creat', 'manga', 'tag', 'question', 'pertain', 'specif', 'mangaka', 'job', 'mangaka']"
267,"['nowher', 'state', 'statu', 'howev', 'naruto', 'sasuk', 'destroy', 'part', 'statu', 'restor', 'later', 'compar', 'chapter', 'mean', 'special', 'statu', 'form', 'protect', 'jutsu', 'mayb', 'battl', 'madara', 'hashirama', 'valley', 'form', 'hashirama', 'decid', 'creat', 'statu', 'sign']"
268,"['titl', 'say', 'ill', 'elabor', 'initi', 'techniqu', 'deriv', 'singl', 'chakra', 'element', 'katon', 'doton', 'suiton', 'fuuton', 'raiton', 'common', 'sinc', 'usual', 'ninja', 'master', 'chakra', 'natur', 'sinc', 'normal', 'ninja', 'tend', 'affili', 'chakra', 'natur', 'later', 'discov', 'combin', 'number', 'way', 'creat', 'new', 'element', 'mokutontonsuiton', 'rantonraitonsuiton', 'youtonkatondoton', 'among', 'sever', 'other', 'understand', 'usual', 'transmit', 'kekkei', 'genkai', 'believ', 'creat', 'combin', 'element', 'ninja', 'didnt', 'inherit', 'gener', 'correct', 'im', 'wrong', 'uncommon', 'le', 'frequent', 'one', 'ninja', 'master', 'poss', 'affili', 'chakra', 'natur', 'sasuk', 'come', 'mind', 'sinc', 'master', 'katon', 'raiton', 'katon', 'clan', 'natur', 'affili', 'master', 'raiton', 'howev', 'dont', 'rememb', 'ever', 'combin', 'even', 'later', 'find', 'combin', 'even', 'element', 'ninja', 'master', 'sever', 'element', 'muu', 'nidaim', 'tsuchikag', 'oonoki', 'sandaim', 'tsuchikag', 'combin', 'katon', 'doton', 'fuuton', 'creat', 'jinton', 'call', 'kekkei', 'touta', 'dont', 'transmit', 'kekkei', 'genkai', 'taught', 'even', 'rarer', 'one', 'sinc', 'ninja', 'rare', 'master', 'natur', 'affili', 'two', 'chakra', 'natur', 'terumii', 'mei', 'godaim', 'mizukag', 'master', 'doton', 'katon', 'suiton', 'dont', 'think', 'ever', 'combin', 'two', 'question', 'combin', 'chakra', 'natur', 'taught', 'transmit', 'kekkei', 'genkai', 'combin', 'three', 'chakra', 'natur', 'possibl', 'question', 'creat', 'new', 'ninja', 'master', 'three', 'chakra', 'natur', 'think', 'kakashi', 'quit', 'sure']"
269,"['naruto', 'group', 'abil', 'call', 'kekkei', 'genkai', 'told', 'genet', 'abil', 'usual', 'pass', 'genet', 'within', 'specif', 'clan', 'notabl', 'eye', 'techniqu', 'djutsu', 'sharingan', 'subset', 'abil', 'first', 'appear', 'appear', 'natur', 'made', 'purpos', 'result', 'experi']"
270,"['sharingan', 'im', 'guess', 'wouldv', 'appear', 'natur', 'doujutsu', 'byakugan', 'rinnegan', 'legend', 'clan', 'descend', 'rikud', 'eldest', 'son', 'receiv', 'father', 'eye', 'power', 'chakra', 'spiritu', 'energi', 'kekkei', 'genkai', 'ninjutsu', 'think', 'develop', 'ninja', 'possess', 'special', 'abil', 'chakra', 'natur', 'affili', 'later', 'pass', 'next', 'gener', 'accord', 'leaf', 'ninja', 'page', 'creation', 'inde', 'potenti', 'bloodlin', 'genet', 'advantag', 'potenti', 'bloodlin', 'genet', 'advantag', 'seem', 'passabl', 'onto', 'next', 'gener', 'suigetsu', 'mangetsu', 'bodi', 'uniqu', 'give', 'genet', 'advantag', 'think', 'couldv', 'basi', 'develop', 'kekkei', 'genkai', 'earli', 'stage', 'clan', 'though', 'suigetsu', 'mangetsu', 'case', 'dont', 'think', 'consid', 'kekkei', 'genkai', 'couldv', 'link', 'earli', 'stage', 'develop', 'clan', 'special', 'techniqu', 'found', 'leaf', 'ninja', 'page']"
271,"['think', 'combin', 'kekkei', 'genkai', 'combin', 'shown', 'kekkai', 'genkai', 'dont', 'think', 'combin', 'three', 'possibl', 'natur', 'block', 'compar', 'suiton', 'katon', 'five', 'base', 'natur', 'cant', 'combin', 'four', 'natur', 'without', 'block', 'ninjutsu', 'five', 'noth', 'guess', 'written', 'comment', 'thank', 'jnat', 'possibl', 'combin', 'element', 'order', 'correctli', 'ye', 'naruto', 'hiden', 'sha', 'sho', 'state', 'shinobi', 'learn', 'two', 'theoret', 'five', 'natur', 'howev', 'use', 'attack', 'complic']"
272,"['combin', 'chakra', 'natur', 'taught', 'transmit', 'kekkei', 'genkai', 'think', 'combin', 'chakra', 'gener', 'possibl', 'kekkei', 'genkai', 'even', 'pass', 'transplant', 'eg', 'kakashi', 'sharingan', 'although', 'there', 'issu', 'lord', 'tsuchikag', 'manga', 'claim', 'master', 'pass', 'abil', 'combin', 'earth', 'wind', 'fire', 'reveal', 'whether', 'share', 'blood', 'relat', 'id', 'treat', 'grain', 'salt', 'combin', 'three', 'chakra', 'natur', 'possibl', 'kekkei', 'tta', 'combin', 'three', 'element', 'dust', 'releas', 'alreadi', 'classifi', 'advanc', 'guess', 'arent', 'reveal', 'possibl', 'question', 'creat', 'new', 'ninja', 'master', 'three', 'chakra', 'natur', 'think', 'kakashi', 'quit', 'sure', 'ye', 'kakashi', 'master', 'four', 'natur', 'accord', 'anim', 'douton', 'earth', 'suiton', 'water', 'raiton', 'lightn', 'katon', 'fire', 'anim']"
273,"['sinc', 'hard', 'answer', 'possibl', 'mix', 'chakra', 'type', 'doubt', 'state', 'anywher', 'manga', 'ill', 'tri', 'answer', 'two', 'part', 'question', 'let', 'start', 'easiest', 'ninja', 'master', 'three', 'chakra', 'natur', 'depend', 'mean', 'master', 'gener', 'answer', 'believ', 'ye', 'kakashi', 'shown', 'element', 'earth', 'fire', 'anim', 'water', 'lightn', 'didnt', 'wind', 'techniqu', 'abl', 'help', 'naruto', 'train', 'least', 'know', 'note', 'natur', 'affin', 'lightn', 'use', 'water', 'techniqu', 'level', 'match', 'level', 'zabuza', 'water', 'specialist', 'master', 'least', 'two', 'element', 'definit', 'anoth', 'two', 'us', 'fire', 'anim', 'though', 'take', 'account', 'think', 'safe', 'assum', 'possibl', 'element', 'ive', 'seen', 'opinion', 'internet', 'unconfirm', 'though', 'everi', 'shinobi', 'actual', 'learn', 'techniqu', 'everi', 'element', 'chose', 'element', 'natur', 'affin', 'debat', 'interest', 'opinion', 'question', 'combin', 'chakra', 'natur', 'taught', 'transmit', 'kekkei', 'genkai', 'believ', 'least', 'three', 'techniqu', 'jinton', 'yton', 'jiton', 'user', 'appar', 'blood', 'relat', 'noki', 'state', 'secret', 'jinton', 'pass', 'impli', 'least', 'suggest', 'abil', 'transmit', 'kekkei', 'genkai', 'way', 'plausibl', 'howev', 'given', 'inform', 'imposs', 'absolut', 'sure', 'sourc', 'two', 'three', 'four']"
274,"['seem', 'first', 'kekkei', 'genkai', 'rinnegan', 'rikudo', 'sennin', 'first', 'ninja', 'dont', 'think', 'kekkei', 'genkai', 'experi', 'liter', 'kekkai', 'genkai', 'sharingan', 'mutat', 'kekkei', 'genkai', 'compar', 'jnat', 'answer', 'mayb', 'combin', 'haku', 'hyoton', 'mutat', 'suddenli', 'appear', 'somewher', 'world']"
275,"['chakra', 'element', 'combin', 'supposedli', 'born', 'trait', 'shinbo', 'born', 'chakra', 'element', 'master', 'secondari', 'element', 'howev', 'clan', 'senju', 'born', 'two', 'element', 'earth', 'water', 'natur', 'combin', 'form', 'wood', 'element', 'sinc', 'thought', 'two', 'element', 'combin', 'possibl', 'discov', 'three', 'inde', 'possibl', 'reason', 'isnt', 'possibl', 'four', 'edit', 'base', 'latest', 'manga', 'chapter', 'seem', 'least', 'element', 'combin', 'possibl', 'although', 'initi', 'estim', 'third', 'might', 'wrong', 'exampl', 'ninja', 'master', 'five', 'chakra', 'element', 'kakuzo', 'great', 'exampl', 'five', 'water', 'earth', 'fire', 'lightn', 'wind', 'bodi', 'though', 'cheat', 'use', 'differ', 'heart', 'possibl', 'said', 'awaken', 'rinnegan', 'master', 'six', 'element', 'includ', 'yinyang', 'element', 'mix', 'togeth', 'sinc', 'hasnt', 'happen', 'yet', 'cant', 'sure', 'edit', 'six', 'path', 'sage', 'chakra', 'creat', 'gudodama', 'call', 'kekkeimora', 'confirm', 'combin', 'element', 'fire', 'water', 'earth', 'lightn', 'wind', 'yinyang']"
276,"['tell', 'statu', 'protect', 'enchant', 'naruto', 'sasuk', 'battl', 'valley', 'end', 'statu', 'damag', 'later', 'repair', 'believ', 'reconstruct', 'job', 'much', 'leaf', 'face', 'mountain', 'kage', 'statu', 'sand', 'word', 'madara', 'honestli', 'dont', 'think', 'hashirama', 'give', 'damn', 'enough', 'statu', 'let', 'alon', 'selfrepair', 'statu', 'wasnt', 'sentiment', 'type']"
277,"['dogfight', 'gilgamesh', 'berserk', 'gilgamesh', 'ride', 'golden', 'fighter', 'plane', 'capabl', 'hover', 'fli', 'great', 'speed', 'supposedli', 'har', 'strang', 'green', 'power', 'open', 'wing', 'glow', 'gilgamesh', 'prepar', 'dodg', 'berkserk', 'approach', 'gate', 'babylon', 'suppos', 'contain', 'gilgamesh', 'treasur', 'futurist', 'contrapt', 'possess']"
278,"['steinsgat', 'much', 'ado', 'diverg', 'number', 'current', 'world', 'line', 'rememb', 'correctli', 'meter', 'kyouma', 'madecarriesi', 'given', 'show', 'differ', 'current', 'world', 'line', 'previou', 'onewhich', 'understood', 'okab', 'immedi', 'last', 'jump', 'diverg', 'number', 'work', 'rel', 'last', 'jumporigin', 'world', 'line', 'rel', 'world', 'line', 'construct', 'world', 'line', 'sern', 'maintain', 'dystopia']"
279,"['sharingan', 'origin', 'ten', 'tail', 'call', 'sharinnegan', 'rinngean', 'rippl', 'eye', 'sharingan', 'mark', 'rippl', 'sage', 'six', 'path', 'inherit', 'power', 'becam', 'ten', 'tail', 'jinchuuriki', 'genet', 'pass', 'eldest', 'son', 'understand', 'sharingan', 'consid', 'yin', 'senju', 'vital', 'life', 'forc', 'consid', 'yang', 'two', 'half', 'whole', 'combin', 'two', 'achiev', 'ultim', 'power', 'asid', 'normal', 'element', 'kekkei', 'genkai', 'result', 'specif', 'bloodlin', 'born', 'two', 'case', 'element', 'result', 'easi', 'manipul', 'fusion', 'element', 'new', 'kekkei', 'genkai', 'probabl', 'learnedcr', 'earli', 'bloodlin', 'taught', 'new', 'member', 'came', 'age', 'kekkei', 'genkai', 'kimimaro', 'bone', 'jutsu', 'suigetsu', 'liquefact', 'jutsu', 'arent', 'explain', 'much', 'detail', 'probabl', 'sort', 'genet', 'mutat', 'enabl', 'chakra', 'preform', 'techniqu', 'genet', 'mutat', 'bloodlin', 'member', 'expir', 'kekkei', 'genkai', 'transfer', 'result', 'inconclous', 'seen', 'sharingan', 'even', 'rinnegan', 'succes', 'transplant', 'oper', 'new', 'host', 'quit', 'easili', 'howev', 'orochimaru', 'attempt', 'transplant', 'hashirama', 'cell', 'newborn', 'fifti', 'surviv', 'accept', 'cell']"
280,"['steinsgat', 'import', 'call', 'attractor', 'field', 'attractor', 'field', 'number', 'world', 'line', 'slightli', 'differ', 'small', 'detail', 'provid', 'end', 'result', 'attractor', 'field', 'made', 'number', 'world', 'line', 'rang', 'exampl', 'alpha', 'attractor', 'field', 'contain', 'world', 'line', 'diverg', 'beta', 'attractor', 'world', 'line', 'thu', 'diverg', 'meter', 'show', 'rel', 'valu', 'rather', 'absolut', 'valu', 'use', 'determin', 'attractor', 'field', 'current', 'world', 'line', 'belong', 'sourc']"
281,"['much', 'madara', 'alreadi', 'said', 'mention', 'anywher', 'someon', 'built', 'howev', 'hashirama', 'doton', 'probabl', 'someon', 'creat', 'statement', 'peac', 'repair', 'easi', 'enough', 'futur', 'doton', 'user', 'fix', 'dont', 'think', 'selfrepair']"
282,"['ill', 'spoiler', 'block', 'sinc', 'spoiler', 'anyon', 'hasnt', 'seenread', 'pain', 'five', 'kage', 'summit', 'arc', 'pain', 'attack', 'konoha', 'tsunad', 'exhaust', 'power', 'danzo', 'nomin', 'rokudaim', 'hokag', 'last', 'short', 'period', 'danzo', 'die', 'fight', 'sasuk', 'tsunad', 'soon', 'recov', 'appoint', 'hokag', 'next', 'willshould', 'rokudaim', 'danzo', 'ignor', 'move', 'shichidaimenanadaim', 'sure', 'hokag', 'ask', 'peopl', 'site', 'consid', 'danzo', 'temporari', 'hokag', 'logic', 'still', 'miss', 'th', 'next', 'howev', 'similar', 'happen', 'success', 'rd', 'hiruzen', 'th', 'minato', 'back', 'rd', 'later', 'came', 'tsunad', 'th', 'point', 'view', 'next', 'succeed', 'seventh', 'anyon', 'thought']"
